zone_id,grid_row,grid_col,x_m,y_m,elevation_m,land_use,runoff_coeff,drain_material,drain_age_yrs,drain_capacity,degradation_rate,degradation_factor,soil_saturation,drift_memory,drift_w1,drift_w2,drift_w3,nearest_drain_node,dist_to_drain_m,infra_health_score,blockage_prob_initial,ideal_flow_efficiency
0,0,0,100.0,100.0,14.33,residential_dense,0.8,clay,12,72.32,0.0006,0.3,51.67631,0.13456268521648726,0.05002052527354713,0.8999589494529057,0.05002052527354713,J_0_0,141.4,77.1,0.2029,0.655
1,0,1,300.0,100.0,14.01,green_space,0.2,cast_iron,27,109.76,0.0004,0.3,43.60678,0.09648619189174981,0.2238722344754133,0.7261222987705925,0.05000546675399413,J_0_0,316.2,55.9,0.2514,0.475
2,0,2,500.0,100.0,15.06,residential_light,0.55,concrete,11,109.44,0.0003,0.2681375412225929,43.274765,0.06666573989597704,0.05000180471872836,0.8999963905625432,0.05000180471872836,J_0_0,509.9,82.5,0.1443,0.701
3,0,3,700.0,100.0,16.15,residential_light,0.55,pvc,17,86.4,0.0002,0.29809956475694405,47.343765,0.07810189918189715,0.05000362320749618,0.8999927535850075,0.05000362320749618,J_0_5,316.2,70.4,0.1957,0.598
4,0,4,900.0,100.0,14.57,residential_light,0.55,clay,16,69.76,0.0006,0.3,44.6102,0.08537734908630912,0.05000490291156169,0.8999901941768765,0.05000490291156169,J_0_5,141.4,67.8,0.1871,0.576
5,0,5,1100.0,100.0,14.71,residential_light,0.55,cast_iron,12,126.56,0.0004,0.3,39.793774,0.06533165671652649,0.05000169494421536,0.8999966101115692,0.05000169494421536,J_0_5,141.4,75.0,0.1529,0.638
6,0,6,1300.0,100.0,16.63,green_space,0.2,pvc,5,96.0,0.0002,0.3,32.741726,0.07305068592638088,0.09858397095482116,0.8514102196616969,0.050005809383481904,J_0_5,316.2,86.6,0.0629,0.736
7,0,7,1500.0,100.0,15.89,green_space,0.2,pvc,11,91.2,0.0002,0.3,51.907455,0.06634587904578668,0.05000074679073263,0.8999985064185346,0.05000074679073263,J_0_5,509.9,83.9,0.1143,0.713
8,0,8,1700.0,100.0,14.72,residential_light,0.55,hdpe,24,88.88,0.00015,0.3,33.171944,0.05359222956589667,0.05000108281997896,0.899997834360042,0.05000108281997896,J_0_10,316.2,57.8,0.2557,0.491
9,0,9,1900.0,100.0,15.78,residential_light,0.55,pvc,13,89.6,0.0002,0.3,42.964767,0.08794183322980757,0.050005185284913954,0.899989629430172,0.050005185284913954,J_0_10,141.4,78.7,0.1614,0.669
10,0,10,2100.0,100.0,14.82,residential_dense,0.8,hdpe,16,95.92,0.00015,0.3,55.53722,0.1159315612983639,0.050015526472693424,0.899968947054613,0.050015526472693424,J_0_10,141.4,66.4,0.2371,0.564
11,0,11,2300.0,100.0,14.88,industrial,0.85,cast_iron,33,103.04,0.0004,0.3,49.68436,0.08623055331191636,0.05000909858878553,0.8999818028224289,0.05000909858878553,J_0_10,316.2,45.3,0.4329,0.385
12,0,12,2500.0,100.0,15.67,residential_light,0.55,pvc,33,73.6,0.0002,0.28405947924848685,41.74283,0.13009498640998013,0.050016451709773764,0.15796630255467795,0.7920172457355483,J_0_10,509.9,43.9,0.3329,0.373
13,0,13,2700.0,100.0,13.61,residential_dense,0.8,pvc,31,75.2,0.0002,0.3,31.137362,0.06454514584782951,0.05000440931020197,0.899991181379596,0.05000440931020197,J_0_15,316.2,41.3,0.3657,0.351
14,0,14,2900.0,100.0,13.92,residential_dense,0.8,concrete,26,95.04,0.0003,0.3,44.84073,0.07519234859226734,0.05000561829399067,0.8999887634120186,0.05000561829399067,J_0_15,141.4,50.0,0.3229,0.425
15,0,15,3100.0,100.0,15.24,residential_light,0.55,pvc,6,95.2,0.0002,0.3,47.773552,0.09522985125850807,0.05000649478152538,0.8999870104369492,0.05000649478152538,J_0_15,141.4,86.0,0.1014,0.731
